race/ethnicity,lunch,test preparation course,math score,reading score,writing score,english score,female,male,associate's degree,bachelor's degree,high school,master's degree,some college,some high school
1,1,1,72,72,74,73,1,0,0,1,0,0,0,0
2,1,0,69,90,88,89,1,0,0,0,0,0,1,0
1,1,1,90,95,93,94,1,0,0,0,0,1,0,0
0,0,1,47,57,44,50.5,0,1,1,0,0,0,0,0
2,1,1,76,78,75,76.5,0,1,0,0,0,0,1,0
1,1,1,71,83,78,80.5,1,0,1,0,0,0,0,0
1,1,0,88,95,92,93.5,1,0,0,0,0,0,1,0
1,0,1,40,43,39,41,0,1,0,0,0,0,1,0
3,0,0,64,64,67,65.5,0,1,0,0,1,0,0,0
1,0,1,38,60,50,55,1,0,0,0,1,0,0,0
2,1,1,58,54,52,53,0,1,1,0,0,0,0,0
3,1,1,40,52,43,47.5,0,1,1,0,0,0,0,0
1,1,1,65,81,73,77,1,0,0,0,1,0,0,0
0,1,0,78,72,70,71,0,1,0,0,0,0,1,0
0,1,1,50,53,58,55.5,1,0,0,0,0,1,0,0
2,1,1,69,75,78,76.5,1,0,0,0,0,0,0,1
2,1,1,88,89,86,87.5,0,1,0,0,1,0,0,0
1,0,1,18,32,28,30,1,0,0,0,0,0,0,1
2,0,0,46,42,46,44,0,1,0,0,0,1,0,0
2,0,1,54,58,61,59.5,1,0,1,0,0,0,0,0
3,1,1,66,69,63,66,0,1,0,0,1,0,0,0
1,0,0,65,75,70,72.5,1,0,0,0,0,0,1,0
3,1,1,44,54,53,53.5,0,1,0,0,0,0,1,0
2,1,1,69,73,73,73,1,0,0,0,0,0,0,1
3,0,0,74,71,80,75.5,0,1,0,1,0,0,0,0
0,0,1,73,74,72,73,0,1,0,0,0,1,0,0
1,1,1,69,54,55,54.5,0,1,0,0,0,0,1,0
2,1,1,67,69,75,72,1,0,0,1,0,0,0,0
2,1,1,70,70,65,67.5,0,1,0,0,1,0,0,0
3,1,1,62,70,75,72.5,1,0,0,0,0,1,0,0
3,1,1,69,74,74,74,1,0,0,0,0,0,1,0
1,1,1,63,65,61,63,1,0,0,0,0,0,1,0
4,0,1,56,72,65,68.5,1,0,0,0,0,1,0,0
3,1,1,40,42,38,40,0,1,0,0,0,0,1,0
4,1,1,97,87,82,84.5,0,1,0,0,0,0,1,0
4,1,0,81,81,79,80,0,1,1,0,0,0,0,0
3,1,1,74,81,83,82,1,0,1,0,0,0,0,0
3,0,1,50,64,59,61.5,1,0,0,0,0,0,0,1
3,0,0,75,90,88,89,1,0,1,0,0,0,0,0
1,0,1,57,56,57,56.5,0,1,1,0,0,0,0,0
2,0,1,55,61,54,57.5,0,1,1,0,0,0,0,0
2,1,1,58,73,68,70.5,1,0,1,0,0,0,0,0
1,1,1,53,58,65,61.5,1,0,1,0,0,0,0,0
1,0,0,59,65,66,65.5,0,1,0,0,0,0,1,0
4,0,1,50,56,54,55,1,0,1,0,0,0,0,0
1,1,1,65,54,57,55.5,0,1,1,0,0,0,0,0
0,1,0,55,65,62,63.5,1,0,1,0,0,0,0,0
2,1,1,66,71,76,73.5,1,0,0,0,1,0,0,0
3,0,0,57,74,76,75,1,0,1,0,0,0,0,0
2,1,0,82,84,82,83,0,1,0,0,1,0,0,0
4,1,1,53,55,48,51.5,0,1,0,0,0,0,1,0
4,0,0,77,69,68,68.5,0,1,1,0,0,0,0,0
2,1,1,53,44,42,43,0,1,0,0,0,0,1,0
3,1,1,88,78,75,76.5,0,1,0,0,1,0,0,0
2,0,0,71,84,87,85.5,1,0,0,0,0,0,0,1
2,0,1,33,41,43,42,1,0,0,0,1,0,0,0
4,1,0,82,85,86,85.5,1,0,1,0,0,0,0,0
3,1,1,52,55,49,52,0,1,1,0,0,0,0,0
3,1,0,58,59,58,58.5,0,1,0,0,0,0,1,0
2,0,1,0,17,10,13.5,1,0,0,0,0,0,0,1
4,0,0,79,74,72,73,0,1,0,1,0,0,0,0
0,0,1,39,39,34,36.5,0,1,0,0,0,0,0,1
0,0,1,62,61,55,58,0,1,1,0,0,0,0,0
2,1,1,69,80,71,75.5,1,0,1,0,0,0,0,0
3,1,1,59,58,59,58.5,1,0,0,0,0,0,0,1
1,1,1,67,64,61,62.5,0,1,0,0,0,0,0,1
3,0,1,45,37,37,37,0,1,0,0,0,0,0,1
2,1,1,60,72,74,73,1,0,0,0,0,0,1,0
1,0,1,61,58,56,57,0,1,1,0,0,0,0,0
2,1,1,39,64,57,60.5,1,0,1,0,0,0,0,0
3,0,0,58,63,73,68,1,0,0,0,0,0,1,0
3,1,0,63,55,63,59,0,1,0,0,0,0,1,0
0,0,1,41,51,48,49.5,1,0,1,0,0,0,0,0
2,0,1,61,57,56,56.5,0,1,0,0,0,0,0,1
2,1,1,49,49,41,45,0,1,0,0,0,0,0,1
1,0,1,44,41,38,39.5,0,1,1,0,0,0,0,0
4,1,1,30,26,22,24,0,1,0,0,0,0,0,1
0,1,0,80,78,81,79.5,0,1,0,1,0,0,0,0
3,1,0,61,74,72,73,1,0,0,0,0,0,0,1
4,1,1,62,68,68,68,1,0,0,0,0,1,0,0
1,1,1,47,49,50,49.5,1,0,1,0,0,0,0,0
1,0,1,49,45,45,45,0,1,0,0,1,0,0,0
0,0,0,50,47,54,50.5,0,1,0,0,0,0,1,0
4,1,1,72,64,63,63.5,0,1,1,0,0,0,0,0
3,0,1,42,39,34,36.5,0,1,0,0,1,0,0,0
2,1,1,73,80,82,81,1,0,0,0,0,0,1,0
2,0,1,76,83,88,85.5,1,0,0,0,0,0,1,0
3,1,1,71,71,74,72.5,1,0,1,0,0,0,0,0
0,1,1,58,70,67,68.5,1,0,0,0,0,0,1,0
3,1,1,73,86,82,84,1,0,0,0,0,0,0,1
2,1,1,65,72,74,73,1,0,0,1,0,0,0,0
2,0,1,27,34,36,35,0,1,0,0,1,0,0,0
2,1,1,71,79,71,75,0,1,0,0,1,0,0,0
2,0,0,43,45,50,47.5,0,1,1,0,0,0,0,0
1,1,1,79,86,92,89,1,0,0,0,0,0,1,0
2,0,0,78,81,82,81.5,0,1,1,0,0,0,0,0
1,1,0,65,66,62,64,0,1,0,0,0,0,0,1
4,1,0,63,72,70,71,1,0,0,0,0,0,1,0
3,0,1,58,67,62,64.5,1,0,0,0,0,0,1,0
3,1,1,65,67,62,64.5,1,0,0,1,0,0,0,0
1,1,1,79,67,67,67,0,1,0,0,0,0,1,0
3,1,0,68,74,74,74,0,1,0,1,0,0,0,0
3,1,1,85,91,89,90,1,0,1,0,0,0,0,0
1,1,0,60,44,47,45.5,0,1,0,0,1,0,0,0
2,1,0,98,86,90,88,0,1,0,0,0,0,1,0
2,1,1,58,67,72,69.5,1,0,0,0,0,0,1,0
3,1,1,87,100,100,100,1,0,0,0,0,1,0,0
4,1,0,66,63,64,63.5,0,1,1,0,0,0,0,0
1,0,1,52,76,70,73,1,0,1,0,0,0,0,0
1,1,1,70,64,72,68,1,0,0,0,0,0,0,1
3,0,0,77,89,98,93.5,1,0,1,0,0,0,0,0
2,1,1,62,55,49,52,0,1,0,0,1,0,0,0
0,1,1,54,53,47,50,0,1,1,0,0,0,0,0
3,1,1,51,58,54,56,1,0,0,0,0,0,1,0
4,1,0,99,100,100,100,1,0,0,1,0,0,0,0
2,1,1,84,77,74,75.5,0,1,0,0,1,0,0,0
1,0,1,75,85,82,83.5,1,0,0,1,0,0,0,0
3,1,1,78,82,79,80.5,1,0,0,1,0,0,0,0
3,1,1,51,63,61,62,1,0,0,0,0,0,0,1
2,1,1,55,69,65,67,1,0,0,0,0,0,1,0
2,1,0,79,92,89,90.5,1,0,0,1,0,0,0,0
1,1,0,91,89,92,90.5,0,1,1,0,0,0,0,0
2,1,0,88,93,93,93,1,0,0,0,0,0,1,0
3,0,1,63,57,56,56.5,0,1,0,0,1,0,0,0
4,1,1,83,80,73,76.5,0,1,0,0,0,0,1,0
1,1,1,87,95,86,90.5,1,0,0,0,1,0,0,0
1,1,1,72,68,67,67.5,0,1,0,0,0,0,0,1
3,1,0,65,77,74,75.5,0,1,0,0,0,0,1,0
3,1,1,82,82,74,78,0,1,0,0,0,1,0,0
0,1,1,51,49,51,50,1,0,0,1,0,0,0,0
3,1,1,89,84,82,83,0,1,0,0,0,1,0,0
2,0,0,53,37,40,38.5,0,1,0,0,0,0,0,1
4,0,0,87,74,70,72,0,1,0,0,0,0,1,0
2,1,0,75,81,84,82.5,1,0,0,0,0,0,1,0
3,0,0,74,79,75,77,0,1,0,1,0,0,0,0
2,1,1,58,55,48,51.5,0,1,0,1,0,0,0,0
1,1,0,51,54,41,47.5,0,1,0,0,0,0,0,1
4,1,1,70,55,56,55.5,0,1,0,0,1,0,0,0
2,1,1,59,66,67,66.5,1,0,1,0,0,0,0,0
3,1,0,71,61,69,65,0,1,0,0,0,0,1,0
3,1,1,76,72,71,71.5,1,0,0,0,0,0,0,1
2,0,1,59,62,64,63,1,0,0,0,0,0,1,0
4,0,0,42,55,54,54.5,1,0,0,0,0,0,1,0
0,1,1,57,43,47,45,0,1,0,0,1,0,0,0
3,1,1,88,73,78,75.5,0,1,0,0,0,0,1,0
2,0,1,22,39,33,36,1,0,0,0,0,0,1,0
1,1,1,88,84,75,79.5,0,1,0,0,0,0,0,1
2,0,1,73,68,66,67,0,1,1,0,0,0,0,0
3,1,0,68,75,81,78,1,0,0,1,0,0,0,0
4,0,0,100,100,93,96.5,0,1,1,0,0,0,0,0
0,1,0,62,67,69,68,0,1,0,0,0,0,0,1
0,1,1,77,67,68,67.5,0,1,0,1,0,0,0,0
1,1,0,59,70,66,68,1,0,1,0,0,0,0,0
3,1,1,54,49,47,48,0,1,0,1,0,0,0,0
3,1,1,62,67,61,64,0,1,0,0,0,0,0,1
2,1,0,70,89,88,88.5,1,0,0,0,0,0,1,0
4,0,0,66,74,78,76,1,0,0,0,1,0,0,0
1,0,1,60,60,60,60,0,1,0,0,0,0,1,0
1,1,0,61,86,87,86.5,1,0,1,0,0,0,0,0
3,0,1,66,62,64,63,0,1,1,0,0,0,0,0
1,0,0,82,78,74,76,0,1,1,0,0,0,0,0
4,0,0,75,88,85,86.5,1,0,0,0,0,0,1,0
1,0,1,49,53,52,52.5,0,1,0,0,0,1,0,0
2,1,1,52,53,49,51,0,1,0,0,1,0,0,0
4,1,1,81,92,91,91.5,1,0,0,0,0,1,0,0
2,1,0,96,100,100,100,1,0,0,1,0,0,0,0
2,0,0,53,51,51,51,0,1,0,0,1,0,0,0
1,0,0,58,76,78,77,1,0,0,0,0,1,0,0
1,1,0,68,83,78,80.5,1,0,0,0,1,0,0,0
2,0,0,67,75,70,72.5,1,0,0,0,0,0,1,0
0,1,0,72,73,74,73.5,0,1,0,0,1,0,0,0
4,1,1,94,88,78,83,0,1,0,0,0,0,0,1
3,1,1,79,86,81,83.5,1,0,0,0,0,0,1,0
2,1,1,63,67,70,68.5,1,0,1,0,0,0,0,0
2,0,0,43,51,54,52.5,1,0,0,1,0,0,0,0
2,1,0,81,91,87,89,1,0,0,0,0,1,0,0
1,0,0,46,54,58,56,1,0,0,0,1,0,0,0
2,1,0,71,77,77,77,1,0,1,0,0,0,0,0
1,0,0,52,70,62,66,1,0,0,0,0,1,0,0
3,1,0,97,100,100,100,1,0,0,0,0,0,0,1
2,0,0,62,68,75,71.5,0,1,0,0,0,1,0,0
2,0,1,46,64,66,65,1,0,0,0,0,0,1,0
4,1,1,50,50,47,48.5,1,0,0,0,1,0,0,0
3,1,1,65,69,70,69.5,1,0,1,0,0,0,0,0
2,0,0,45,52,49,50.5,0,1,0,0,0,0,0,1
2,0,0,65,67,65,66,0,1,1,0,0,0,0,0
4,1,1,80,76,65,70.5,0,1,0,0,1,0,0,0
3,1,0,62,66,68,67,0,1,0,0,0,0,0,1
1,0,1,48,52,45,48.5,0,1,0,0,0,0,0,1
2,1,1,77,88,87,87.5,1,0,0,1,0,0,0,0
4,1,1,66,65,69,67,1,0,1,0,0,0,0,0
3,1,0,76,83,79,81,0,1,0,0,0,0,1,0
1,1,1,62,64,66,65,1,0,0,0,0,0,0,1
3,1,0,77,62,62,62,0,1,0,0,0,0,1,0
2,1,0,69,84,85,84.5,1,0,0,0,0,1,0,0
3,1,1,61,55,52,53.5,0,1,1,0,0,0,0,0
2,0,0,59,69,65,67,0,1,0,0,0,0,0,1
4,0,1,55,56,51,53.5,0,1,0,0,1,0,0,0
1,0,1,45,53,55,54,1,0,0,0,0,0,1,0
1,0,1,78,79,76,77.5,1,0,0,1,0,0,0,0
2,1,0,67,84,86,85,1,0,1,0,0,0,0,0
3,0,1,65,81,77,79,1,0,0,0,0,0,1,0
2,1,1,69,77,69,73,0,1,1,0,0,0,0,0
1,1,1,57,69,68,68.5,1,0,1,0,0,0,0,0
2,1,1,59,41,42,41.5,0,1,0,0,0,0,1,0
3,1,0,74,71,78,74.5,0,1,0,0,0,0,0,1
4,1,1,82,62,62,62,0,1,0,1,0,0,0,0
4,1,0,81,80,76,78,0,1,0,0,1,0,0,0
1,0,1,74,81,76,78.5,1,0,0,0,0,0,1,0
1,0,1,58,61,66,63.5,1,0,0,0,0,0,1,0
3,0,0,80,79,79,79,0,1,0,0,0,0,0,1
2,0,1,35,28,27,27.5,0,1,0,0,0,0,1,0
2,0,1,42,62,60,61,1,0,0,0,1,0,0,0
2,0,0,60,51,56,53.5,0,1,1,0,0,0,0,0
4,1,0,87,91,81,86,0,1,0,0,1,0,0,0
1,1,0,84,83,75,79,0,1,0,0,0,0,0,1
4,0,0,83,86,88,87,1,0,1,0,0,0,0,0
2,0,1,34,42,39,40.5,1,0,0,0,1,0,0,0
1,0,1,66,77,70,73.5,0,1,0,0,1,0,0,0
1,1,0,61,56,56,56,0,1,0,0,0,0,0,1
3,1,0,56,68,74,71,1,0,0,0,1,0,0,0
1,1,1,87,85,73,79,0,1,1,0,0,0,0,0
2,0,1,55,65,62,63.5,1,0,0,0,0,0,0,1
3,1,1,86,80,75,77.5,0,1,0,0,0,0,0,1
1,1,0,52,66,73,69.5,1,0,1,0,0,0,0,0
4,0,1,45,56,54,55,1,0,0,0,0,1,0,0
2,1,1,72,72,71,71.5,1,0,0,0,0,0,1,0
3,1,1,57,50,54,52,0,1,0,0,1,0,0,0
0,0,1,68,72,64,68,0,1,0,0,0,0,0,1
2,1,0,88,95,94,94.5,1,0,0,0,0,0,1,0
3,1,1,76,64,66,65,0,1,0,0,0,0,1,0
2,1,1,46,43,42,42.5,0,1,1,0,0,0,0,0
1,1,1,67,86,83,84.5,1,0,0,1,0,0,0,0
4,1,1,92,87,78,82.5,0,1,0,0,0,0,0,1
2,1,0,83,82,84,83,0,1,0,1,0,0,0,0
3,1,1,80,75,77,76,0,1,1,0,0,0,0,0
3,0,1,63,66,67,66.5,0,1,0,1,0,0,0,0
3,1,0,64,60,74,67,1,0,0,0,0,0,0,1
1,1,1,54,52,51,51.5,0,1,0,0,0,0,1,0
2,1,1,84,80,80,80,0,1,1,0,0,0,0,0
3,0,0,73,68,66,67,0,1,0,0,1,0,0,0
4,1,1,80,83,83,83,1,0,0,1,0,0,0,0
3,1,1,56,52,55,53.5,1,0,0,0,1,0,0,0
4,1,1,59,51,43,47,0,1,0,0,0,0,1,0
3,1,1,75,74,69,71.5,0,1,0,0,0,0,0,1
2,1,1,85,76,71,73.5,0,1,1,0,0,0,0,0
4,1,1,89,76,74,75,0,1,1,0,0,0,0,0
1,1,0,58,70,68,69,1,0,0,0,1,0,0,0
1,1,1,65,64,62,63,1,0,0,0,1,0,0,0
2,1,1,68,60,53,56.5,0,1,0,0,1,0,0,0
0,1,0,47,49,49,49,0,1,0,0,0,0,0,1
3,0,1,71,83,83,83,1,0,0,0,0,0,1,0
1,1,0,60,70,70,70,1,0,0,0,0,0,0,1
3,1,1,80,80,72,76,0,1,0,0,0,1,0,0
3,1,1,54,52,52,52,0,1,0,0,1,0,0,0
4,1,1,62,73,70,71.5,1,0,0,0,0,0,1,0
2,0,1,64,73,68,70.5,1,0,1,0,0,0,0,0
2,1,0,78,77,77,77,0,1,1,0,0,0,0,0
1,1,1,70,75,78,76.5,1,0,0,0,0,0,1,0
2,0,0,65,81,81,81,1,0,0,0,0,1,0,0
2,0,0,64,79,77,78,1,0,0,0,0,0,0,1
2,1,0,79,79,78,78.5,0,1,0,0,0,0,1,0
2,0,1,44,50,51,50.5,1,0,0,0,0,0,0,1
4,1,1,99,93,90,91.5,1,0,0,0,1,0,0,0
3,1,1,76,73,68,70.5,0,1,0,0,1,0,0,0
3,0,1,59,42,41,41.5,0,1,0,0,0,0,0,1
2,1,1,63,75,81,78,1,0,0,1,0,0,0,0
3,1,1,69,72,77,74.5,1,0,0,0,1,0,0,0
3,1,0,88,92,95,93.5,1,0,1,0,0,0,0,0
4,0,1,71,76,70,73,1,0,0,0,0,0,1,0
2,1,1,69,63,61,62,0,1,0,1,0,0,0,0
2,1,1,58,49,42,45.5,0,1,0,0,0,0,1,0
3,0,1,47,53,58,55.5,1,0,1,0,0,0,0,0
3,1,1,65,70,71,70.5,1,0,0,0,0,0,1,0
1,1,0,88,85,76,80.5,0,1,0,0,0,0,1,0
2,1,1,83,78,73,75.5,0,1,0,1,0,0,0,0
2,1,0,85,92,93,92.5,1,0,0,0,0,0,0,1
4,1,0,59,63,75,69,1,0,0,0,1,0,0,0
2,0,1,65,86,80,83,1,0,0,0,0,0,0,1
1,0,1,73,56,57,56.5,0,1,0,1,0,0,0,0
3,1,1,53,52,42,47,0,1,0,0,1,0,0,0
3,1,1,45,48,46,47,0,1,0,0,1,0,0,0
3,0,1,73,79,84,81.5,1,0,0,1,0,0,0,0
3,0,0,70,78,78,78,1,0,0,0,0,0,1,0
1,1,1,37,46,46,46,1,0,0,0,0,0,0,1
1,1,0,81,82,82,82,0,1,1,0,0,0,0,0
4,1,0,97,82,88,85,0,1,1,0,0,0,0,0
1,1,1,67,89,82,85.5,1,0,0,0,0,0,0,1
1,0,1,88,75,76,75.5,0,1,0,1,0,0,0,0
4,1,0,77,76,77,76.5,0,1,0,0,0,0,0,1
2,1,1,76,70,68,69,0,1,1,0,0,0,0,0
3,1,1,86,73,70,71.5,0,1,0,0,0,0,0,1
2,1,0,63,60,57,58.5,0,1,0,0,0,0,0,1
4,1,1,65,73,75,74,1,0,0,1,0,0,0,0
3,0,0,78,77,80,78.5,0,1,0,0,1,0,0,0
1,0,1,67,62,60,61,0,1,1,0,0,0,0,0
0,1,0,46,41,43,42,0,1,0,0,0,0,0,1
4,1,0,71,74,68,71,0,1,1,0,0,0,0,0
2,0,0,40,46,50,48,0,1,0,0,1,0,0,0
3,0,1,90,87,75,81,0,1,1,0,0,0,0,0
0,0,0,81,78,81,79.5,0,1,0,0,0,0,1,0
3,0,1,56,54,52,53,0,1,0,0,0,0,0,1
2,1,0,67,84,81,82.5,1,0,1,0,0,0,0,0
1,1,1,80,76,64,70,0,1,1,0,0,0,0,0
2,1,0,74,75,83,79,1,0,1,0,0,0,0,0
0,1,1,69,67,69,68,0,1,0,0,0,0,1,0
4,1,0,99,87,81,84,0,1,0,0,0,0,1,0
2,1,1,51,52,44,48,0,1,0,0,0,0,0,1
1,0,1,53,71,67,69,1,0,1,0,0,0,0,0
3,0,1,49,57,52,54.5,1,0,0,0,1,0,0,0
1,1,1,73,76,80,78,1,0,1,0,0,0,0,0
1,1,1,66,60,57,58.5,0,1,0,1,0,0,0,0
3,1,0,67,61,68,64.5,0,1,0,1,0,0,0,0
2,0,0,68,67,69,68,1,0,1,0,0,0,0,0
2,1,0,59,64,75,69.5,1,0,0,1,0,0,0,0
2,1,1,71,66,65,65.5,0,1,0,0,1,0,0,0
3,1,0,77,82,91,86.5,1,0,0,0,0,1,0,0
2,1,1,83,72,78,75,0,1,1,0,0,0,0,0
1,1,1,63,71,69,70,0,1,0,1,0,0,0,0
3,0,1,56,65,63,64,1,0,1,0,0,0,0,0
2,0,0,67,79,84,81.5,1,0,0,0,1,0,0,0
4,1,1,75,86,79,82.5,1,0,0,0,1,0,0,0
2,1,1,71,81,80,80.5,1,0,0,0,0,0,1,0
2,0,1,43,53,53,53,1,0,0,0,0,0,0,1
2,0,1,41,46,43,44.5,1,0,0,0,1,0,0,0
2,1,1,82,90,94,92,1,0,0,0,0,0,1,0
2,1,1,61,61,62,61.5,0,1,0,0,0,0,1,0
0,0,1,28,23,19,21,0,1,0,0,0,0,1,0
2,1,0,82,75,77,76,0,1,1,0,0,0,0,0
